id,comment_count,favorite_count,score
18421627,2,,2
18424927,2,,2
18427623,2,,2
18431972,2,,2
18432607,2,,2
18433088,2,,2
18435070,2,,2
18436269,2,,2
18438971,2,,2
18440609,2,,2
18440908,2,,2
18441383,2,,2
18444050,2,,2
18447431,2,,2
18448821,2,,2
18450508,2,,2
18450523,2,,2
18451189,2,,2
18451275,2,,2
18451328,2,,2
18452829,2,,2
18452934,2,,2
18453085,2,,2
18454438,2,,2
18454998,2,,2
18461057,2,,2
18462282,2,,2
18462446,2,,2
18462617,2,,2
18465512,2,,2
18465541,2,,2
18467070,2,,2
18468754,2,,2
18471443,2,,2
18472535,2,,2
18473322,2,,2
18480166,2,,2
18481367,2,,2
18481575,2,,2
18482628,2,,2
18483359,2,,2
18174781,2,,3
18368768,2,,3
18409002,2,,3
18412511,2,,3
18416127,2,,3
18420867,2,,3
18421298,2,,3
18424841,2,,3
18430580,2,,3
18436719,2,,3
18440424,2,,3
18446667,2,,3
